id,file_name,age,speaker,sentence,subject,embedded_subject,sentence_type,embedded_type,adverb,modal,embedded_modal,negation,embedded_negation,aspect,embedded_aspect,tense,in_context,where_context,translation,contrast,where_contrast
1,Chang1/4,5;11,child,"EXP: 你有没有看过?
CHI: 雪.
EXP: 对雪.
CHI: 所以我台湾以为都有雪，后来没有. (所以我以为台湾都有雪，后来才知道没有)
EXP: 没有对.
CHI: 只有我想到美国有雪.",first_person,third_person,declarative,declarative,no,no,no,no,,no,no,no,not_p,after,"experimenter: have you seen (snow)?
child: snow.
experiment: yes, snow.
child: so i taiwan incorrectly thought there’s always snow, then not. (wrong word order, intended: so i incorrectly thought taiwan has snow/there’s always snow in taiwan, then (i) knew there is not.)
experiment: there’s not, right.
child: only i thought the US has snow/there’s snow in the US.",知道,after
2,Chang1/9,5;07,child,"CHI: 然后，叫<水龙>，水龙，再去打仗.
CHI: 然后，突然发现了，一个大象.
CHI: 牠就以为说...弟弟是说那个...
CHI: 然后牠[=dragon]就踢踢踢.
CHI: 牠[=elephant]就.
CHI: 啊啊啊!",third_person,dropped,declarative,declarative,就,no,no,no,,no,no,no,unclear,unclear,"child: then... called water dragon... water dragon will fight the war again.
child: then, (he?) suddenly discovered an elephant.
child: he (the dragon?) then incorrectly thought, little brother said that …
child: then he (the dragon) kicked kicked kicked. 
child: he (the elephant) then 
child: ahh!",no,no
3,LiZhou/4/1,4;03,child,"CHI: 哎好哎.
CHI: <孩名.>
CHI: 我以为你xxx房子.
CHI: 这里的房子是不是坏掉了呀?",first_person,second_person,declarative,declarative,no,no,no,no,,no,no,no,no,no,"child: okay. 
child: <child's name>
child: i thought you xxx house. 
child: is the house here broken down?",no,no
4,NSCtoys/4/a29_1,4;01,mother,"MOT: 给狗狗或猫咪吃的,是吗?
CHI: 对.
MOT: 喔(.)了解.
MOT: 那这是什么?
CHI: 这是...
MOT: 我以为你要做楼梯耶.
CHI: 对啊.
CHI: <因为>[/]因为那个就是.
CHI: 给你如果(.)不方便的话.
CHI: 这边就可以放鞋子.
MOT: 喔(.)放鞋子的地方喔!",first_person,second_person,declarative,declarative,no,no,要,no,no,no,no,no,p_alt,after,"mother: Is this for dogs or cats to eat?
child: Right.
mother: Oh, I see.
mother: then what is this?
child: this is ... 
mother: i incorrectly thought you were going to make a staircase. 
child: yeah. 
child: because...because that is 
child: for you. If it’s not convenient (if you’re not convenient)
child: this side can be used for storing shoes (you can put shoes on this side)
mother: oh, a place to put/store shoes!",no,no
5,NSCtoys/4/a36_3,4;03,mother,"MOT: tiger的身体在哪里?
CHI: 猫啦.
MOT: 猫喔?
MOT: 对.
MOT: <我以为是>，我以为他是tiger.
MOT: 结果是猫.
MOT: 大猫.",first_person,third_person,declarative,declarative,no,no,no,no,no,no,no,no,p_alt,both,"mother: where is the body of the tiger?
child: (it's) a cat. 
mother: a cat? 
mother: right. 
mother: i incorrectly thought...i incorrectly thought it was a tiger. 
mother: it turned out to be a cat. 
mother: a big cat.",no,no
6,NSCtoys/4/a37_2,4;03,mother,"MOT: 这样推!
MOT: 打屁股!
MOT: 你自以为你现在是当医生打屁股,是不是?
CHI: 0.
MOT: 很痛吗?
CHI: 0.
MOT: 很痛喔?",second_person,second_person,tag_question,declarative,自,no,no,no,no,no,no,no,pretend_play,inferred,"mother: push like this! 
mother: give shots/injections in the butt (in the context of pretend play). 
mother: you incorrectly thought you were the doctor and gave injections in the butt, aren't you?
child: [inaudible]
mother: does it hurt?
child: [inaudible]
mother: it hurts right?",当,after
7,NSCtoys/5-6_1/g09_1,4;02,mother,"MOT: 你觉得没有很厉害吗?
MOT: 你可以这样子吗?
CHI: 当然可以啊.
MOT: 我以为很厉害.
CHI: 谁都可以.
CHI: 我可以这样子.",first_person,dropped,declarative,declarative,no,no,no,no,no,no,no,no,not_p?,before,"mother: do you think this is not very impressive? 
mother: can you do this? 
child: of course i can.
mother: i incorrectly thought (it's) very impressive.
child: everyone can
child: i can be like this.",觉得,before
8,NSCtoys/2/d19_3,2;05,mother,"MOT: <好像>[/]好像不行齁.
MOT: 是不是少了一片?
MOT: 啊&=laughs.
MOT: 哦.
MOT: 原来那个不是蛋啦.
MOT: 妈妈以为他是荷包蛋.
MOT: 原来他是谁!
MOT: 他是谁?
MOT: 他是鸭妈妈耶.
CHI: 鸭妈妈.",third_person,third_person,declarative,declarative,no,no,no,no,no,no,no,no,not_p,both,"mother: It looks like it’s not possible.
mother: is it missing a piece?
mother: ah!
mother: oh.
mother: that is not an egg.
mother: mom incorrectly thought he was a fried egg.
mother: who is she actually?
mother: who is she?
mother: she is mama duck.
child: mama duck.",no,no
9,NSCtoys/4-6_2/a12_3,4;11,mother,"MOT: 试试看啊.
CHI: 哦!
CHI: 嘿&=laughs!
MOT: 哇!
MOT: 哇!
MOT: 结果牠不是狗耶.
MOT: 妈妈本来还以为牠是狗.
CHI: 牠是猫.
MOT: 牠是猫.",third_person,third_person,declarative,declarative,"本来, 还",no,no,no,no,no,no,本来,not_p,both,"mother: Let’s try.
child: Oh!
child: Hehe (laugh)
mother: Wow!
mother: It is not a dog.
mother: Mom incorrectly thought it was a dog.
child: It’s a cat.
mother: It’s a cat.",no,no
10,NSCtoys/4-6_1/f05_1,4;07,mother,"MOT: <孩名>知道这是什么形状吗?
MOT: 这个.
CHI: 三角形.
MOT: 欸他这个不能排成正方形欸.
MOT: 我以为他可以排成正方形.
CHI: 可以.
MOT: 结果他不行.
CHI: 可以!
MOT: 可以吗?
CHI: 可以.",first_person,third_person,declarative,declarative,no,no,可以,no,no,no,no,no,not_p,before,"mother: <child’s name> do you know what this shape is?
mother: this.
child: triangle.
mother: this can't form into a square. 
mother: i incorrectly thought it could form into a square. 
child: it can. 
mother: it turns out it can't. 
child: it can! 
mother: can it?
child: it can.",no,no
