workerid,proliferate.condition,block_id,condition,item_id,response,rt,trial_num,verb,error
452,condition1,practice,practice_1,301,放,,0,NA,
452,condition1,practice,practice_2,302,打,,0,NA,
452,condition1,practice,practice_3,303,发,,0,NA,
452,condition1,practice,practice_4,304,闹,,0,NA,
452,condition1,0,juede_unclear,114,看,19878,1,juede,
452,condition1,0,filler,903,待,3444,2,filler,
452,condition1,0,yiwei_contrastive,9,要,15941,3,yiwei,
452,condition1,0,yiwei_unclear,103,是,19264,4,yiwei,
452,condition1,0,juede_unclear,111,觉得,7560,5,juede,
452,condition1,0,juede_contrastive,15,的,18838,6,juede,
452,condition1,0,yiwei_unclear,106,剩,14825,7,yiwei,
452,condition1,0,yiwei_contrastive,10,不,13436,8,yiwei,
452,condition1,0,filler,901,挠,4409,9,filler,
452,condition1,0,juede_contrastive,19,挺,6811,10,juede,
452,condition1,1,juede_unclear,113,说,4881,11,juede,
452,condition1,1,filler,909,画,3631,12,filler,
452,condition1,1,yiwei_contrastive,5,认为,5272,13,yiwei,
452,condition1,1,filler,902,盗,4920,14,filler,
452,condition1,1,yiwei_unclear,102,猜,55121,15,yiwei,
452,condition1,1,yiwei_contrastive,3,就,14745,16,yiwei,
452,condition1,1,juede_contrastive,16,感觉,17540,17,juede,
452,condition1,1,juede_unclear,119,看,5219,18,juede,
452,condition1,1,juede_contrastive,14,出生,4225,19,juede,
452,condition1,1,yiwei_unclear,108,觉得,42810,20,yiwei,
452,condition1,2,yiwei_contrastive,8,赞同,23934,21,yiwei,
452,condition1,2,yiwei_contrastive,7,看,9567,22,yiwei,
452,condition1,2,yiwei_unclear,104,看,26424,23,yiwei,
452,condition1,2,juede_contrastive,20,瞧,6505,24,juede,
452,condition1,2,juede_unclear,118,猜,3631,25,juede,
452,condition1,2,juede_contrastive,12,认为,2944,26,juede,
452,condition1,2,yiwei_unclear,109,觉得,12394,27,yiwei,
452,condition1,2,juede_unclear,120,待在,5981,28,juede,
452,condition1,2,filler,904,揠,5675,29,filler,
452,condition1,2,filler,907,谈,5160,30,filler,
452,condition1,3,filler,905,指,6068,31,filler,
452,condition1,3,filler,910,刻,5330,32,filler,
452,condition1,3,yiwei_unclear,107,说,4384,33,yiwei,
452,condition1,3,yiwei_contrastive,1,说,7050,34,yiwei,
452,condition1,3,yiwei_contrastive,2,瞧,4186,35,yiwei,
452,condition1,3,juede_contrastive,18,待,8254,36,juede,
452,condition1,3,yiwei_unclear,101,责怪,5600,37,yiwei,
452,condition1,3,juede_unclear,112,发现,3405,38,juede,
452,condition1,3,juede_unclear,115,发现,2917,39,juede,
452,condition1,3,juede_contrastive,11,看,5296,40,juede,
452,condition1,4,filler,906,点,2968,41,filler,
452,condition1,4,yiwei_contrastive,4,猜,5038,42,yiwei,
452,condition1,4,juede_contrastive,17,才,3154,43,juede,
452,condition1,4,juede_unclear,117,放,9104,44,juede,
452,condition1,4,yiwei_unclear,105,觉得这,31496,45,yiwei,
452,condition1,4,yiwei_contrastive,6,猜,4632,46,yiwei,
452,condition1,4,filler,908,拆,3703,47,filler,
452,condition1,4,juede_unclear,116,看,3874,48,juede,
452,condition1,4,yiwei_unclear,110,看,13174,49,yiwei,
452,condition1,4,juede_contrastive,13,用的,13978,50,juede,
512,condition1,practice,practice_1,301,放,,0,NA,
512,condition1,practice,practice_2,302,打,,0,NA,
512,condition1,practice,practice_3,303,发,,0,NA,
512,condition1,practice,practice_4,304,闹,,0,NA,
512,condition1,0,juede_contrastive,16,拿的,52709,1,juede,
512,condition1,0,juede_unclear,112,觉得,50361,2,juede,
512,condition1,0,filler,902,盗,14846,3,filler,
512,condition1,0,yiwei_contrastive,9,要的,30216,4,yiwei,
512,condition1,0,yiwei_unclear,103,说,60623,5,yiwei,
512,condition1,0,filler,903,待,27866,6,filler,
512,condition1,0,yiwei_unclear,110,想,14816,7,yiwei,
512,condition1,0,juede_unclear,120,有,170456,8,juede,
512,condition1,0,yiwei_contrastive,1,说,11849,9,yiwei,
512,condition1,0,juede_contrastive,11,戴,54427,10,juede,
512,condition1,1,yiwei_unclear,101,说,75030,11,yiwei,
512,condition1,1,juede_unclear,111,觉得,14247,12,juede,
512,condition1,1,yiwei_unclear,106,算,61512,13,yiwei,
512,condition1,1,juede_unclear,114,不像,77692,14,juede,
512,condition1,1,filler,904,拔,12366,15,filler,
512,condition1,1,yiwei_contrastive,10,还以为,57935,16,yiwei,
512,condition1,1,filler,905,指,13563,17,filler,
512,condition1,1,juede_contrastive,19,觉得,46304,18,juede,
512,condition1,1,juede_contrastive,15,看,59448,19,juede,
512,condition1,1,yiwei_contrastive,5,觉得,12881,20,yiwei,
512,condition1,2,yiwei_contrastive,4,看,13421,21,yiwei,
512,condition1,2,juede_unclear,116,看,76531,22,juede,
512,condition1,2,juede_unclear,118,觉得,68020,23,juede,
512,condition1,2,juede_contrastive,20,看,15149,24,juede,
512,condition1,2,yiwei_contrastive,3,就,52443,25,yiwei,
512,condition1,2,filler,909,画,21870,26,filler,
512,condition1,2,filler,901,挠,34247,27,filler,
512,condition1,2,juede_contrastive,12,觉得,4907,28,juede,
512,condition1,2,yiwei_unclear,109,叫,73334,29,yiwei,
512,condition1,2,yiwei_unclear,104,看,27099,30,yiwei,
512,condition1,3,filler,910,刻,50795,31,filler,
512,condition1,3,juede_contrastive,14,就,49924,32,juede,
512,condition1,3,juede_unclear,117,藏,42482,33,juede,
512,condition1,3,juede_contrastive,17,就,29116,34,juede,
512,condition1,3,yiwei_contrastive,8,可,31995,35,yiwei,
512,condition1,3,yiwei_unclear,107,当,33757,36,yiwei,
512,condition1,3,yiwei_contrastive,2,以为,64574,37,yiwei,
512,condition1,3,yiwei_unclear,108,认为,40349,38,yiwei,
512,condition1,3,filler,908,拆,33105,39,filler,
512,condition1,3,juede_unclear,113,觉得,6393,40,juede,
512,condition1,4,juede_unclear,115,想,50826,41,juede,
512,condition1,4,juede_unclear,119,觉得,17445,42,juede,
512,condition1,4,filler,907,谈,19742,43,filler,
512,condition1,4,yiwei_unclear,102,觉得,37452,44,yiwei,
512,condition1,4,yiwei_contrastive,7,才,34779,45,yiwei,
512,condition1,4,yiwei_unclear,105,就,53516,46,yiwei,
512,condition1,4,yiwei_contrastive,6,觉得,10598,47,yiwei,
512,condition1,4,filler,906,点,37170,48,filler,
512,condition1,4,juede_contrastive,18,怕,12785,49,juede,
512,condition1,4,juede_contrastive,13,就,39558,50,juede,
518,condition1,practice,practice_1,301,放,,0,NA,
518,condition1,practice,practice_2,302,打,,0,NA,
518,condition1,practice,practice_3,303,发,,0,NA,
518,condition1,practice,practice_4,304,闹,,0,NA,
518,condition1,0,juede_contrastive,15,看,24463,1,juede,
518,condition1,0,yiwei_contrastive,3,就,30193,2,yiwei,
518,condition1,0,filler,902,盗,23221,3,filler,
518,condition1,0,juede_unclear,118,看,18368,4,juede,
518,condition1,0,filler,903,待,5228,5,filler,
518,condition1,0,juede_unclear,115,看,9702,6,juede,
518,condition1,0,yiwei_contrastive,8,还,19649,7,yiwei,
518,condition1,0,juede_contrastive,20,这,9691,8,juede,
518,condition1,0,yiwei_unclear,107,说,20655,9,yiwei,
518,condition1,0,yiwei_unclear,104,这,7501,10,yiwei,
518,condition1,1,yiwei_unclear,109,说,7862,11,yiwei,
518,condition1,1,juede_contrastive,17,就,9394,12,juede,
518,condition1,1,juede_unclear,114,看,11037,13,juede,
518,condition1,1,juede_unclear,112,觉得,28426,14,juede,
518,condition1,1,filler,901,挠,17909,15,filler,
518,condition1,1,filler,910,刻,15076,16,filler,
518,condition1,1,yiwei_unclear,105,不过,16755,17,yiwei,
518,condition1,1,yiwei_contrastive,9,看,5090,18,yiwei,
518,condition1,1,juede_contrastive,18,的,7910,19,juede,
518,condition1,1,yiwei_contrastive,1,说,16689,20,yiwei,
518,condition1,2,juede_unclear,120,把,28194,21,juede,
518,condition1,2,juede_contrastive,19,是,13737,22,juede,
518,condition1,2,juede_contrastive,16,的,4623,23,juede,
518,condition1,2,yiwei_unclear,103,以为,14198,24,yiwei,
518,condition1,2,filler,904,揠,17167,25,filler,
518,condition1,2,juede_unclear,113,说,6222,26,juede,
518,condition1,2,yiwei_unclear,101,以为,7697,27,yiwei,
518,condition1,2,yiwei_contrastive,4,觉得,16768,28,yiwei,
518,condition1,2,filler,907,谈,6013,29,filler,
518,condition1,2,yiwei_contrastive,7,看,10500,30,yiwei,
518,condition1,3,yiwei_contrastive,2,看,4012,31,yiwei,
518,condition1,3,yiwei_unclear,108,这样想,16526,32,yiwei,
518,condition1,3,juede_unclear,117,藏,9847,33,juede,
518,condition1,3,juede_contrastive,14,的,6062,34,juede,
518,condition1,3,yiwei_contrastive,6,的,5219,35,yiwei,
518,condition1,3,filler,905,指,12735,36,filler,
518,condition1,3,juede_contrastive,13,说,10129,37,juede,
518,condition1,3,filler,909,画,12773,38,filler,
518,condition1,3,juede_unclear,119,说,9028,39,juede,
518,condition1,3,yiwei_unclear,110,看,10097,40,yiwei,
518,condition1,4,yiwei_contrastive,5,觉得,16086,41,yiwei,
518,condition1,4,juede_contrastive,12,看,3910,42,juede,
518,condition1,4,filler,908,拆,13160,43,filler,
518,condition1,4,juede_unclear,111,觉得,22981,44,juede,
518,condition1,4,juede_unclear,116,看,5415,45,juede,
518,condition1,4,yiwei_contrastive,10,以为,6456,46,yiwei,
518,condition1,4,yiwei_unclear,106,这,7931,47,yiwei,
518,condition1,4,yiwei_unclear,102,说,16940,48,yiwei,
518,condition1,4,filler,906,点,15282,49,filler,
518,condition1,4,juede_contrastive,11,我看,9523,50,juede,
451,condition1,practice,practice_1,301,放,,0,NA,
451,condition1,practice,practice_2,302,打,,0,NA,
451,condition1,practice,practice_3,303,发,,0,NA,
451,condition1,practice,practice_4,304,闹,,0,NA,
451,condition1,0,yiwei_contrastive,9,做,20463,1,yiwei,
451,condition1,0,filler,910,刻,8920,2,filler,
451,condition1,0,yiwei_contrastive,3,就,20065,3,yiwei,
451,condition1,0,juede_contrastive,12,看,3782,4,juede,
451,condition1,0,yiwei_unclear,109,赶,5344,5,yiwei,
451,condition1,0,juede_contrastive,16,打开,14055,6,juede,
451,condition1,0,juede_unclear,116,猜,14592,7,juede,
451,condition1,0,yiwei_unclear,104,打,29473,8,yiwei,
451,condition1,0,juede_unclear,114,晒,19408,9,juede,
451,condition1,0,filler,908,拆,4423,10,filler,
451,condition1,1,filler,906,点,4863,11,filler,
451,condition1,1,yiwei_unclear,103,发现,9912,12,yiwei,
451,condition1,1,yiwei_unclear,110,让,9353,13,yiwei,
451,condition1,1,yiwei_contrastive,5,猜,4223,14,yiwei,
451,condition1,1,juede_unclear,115,猜,6504,15,juede,
451,condition1,1,juede_unclear,118,认为,7448,16,juede,
451,condition1,1,yiwei_contrastive,8,猜,13271,17,yiwei,
451,condition1,1,juede_contrastive,20,说,26144,18,juede,
451,condition1,1,filler,903,待,4087,19,filler,
451,condition1,1,juede_contrastive,11,戴,13207,20,juede,
451,condition1,2,filler,909,画,5800,21,filler,
451,condition1,2,juede_contrastive,18,说,4458,22,juede,
451,condition1,2,yiwei_unclear,106,凭,9031,23,yiwei,
451,condition1,2,yiwei_unclear,105,喜欢,37288,24,yiwei,
451,condition1,2,juede_unclear,113,认为,5592,25,juede,
451,condition1,2,filler,904,拔,6400,26,filler,
451,condition1,2,yiwei_contrastive,4,认为,7080,27,yiwei,
451,condition1,2,juede_contrastive,15,猜,23360,28,juede,
451,condition1,2,juede_unclear,117,放,4616,29,juede,
451,condition1,2,yiwei_contrastive,7,猜,7752,30,yiwei,
451,condition1,3,filler,902,盗,8056,31,filler,
451,condition1,3,filler,905,指,4464,32,filler,
451,condition1,3,juede_contrastive,14,工作,17855,33,juede,
451,condition1,3,yiwei_unclear,107,认为,6239,34,yiwei,
451,condition1,3,yiwei_contrastive,1,叫,7177,35,yiwei,
451,condition1,3,juede_contrastive,17,认为,12761,36,juede,
451,condition1,3,yiwei_contrastive,6,猜,3288,37,yiwei,
451,condition1,3,juede_unclear,120,把,20167,38,juede,
451,condition1,3,yiwei_unclear,102,猜,7807,39,yiwei,
451,condition1,3,juede_unclear,111,认为,5250,40,juede,
451,condition1,4,filler,907,谈,3158,41,filler,
451,condition1,4,yiwei_contrastive,10,以为,33889,42,yiwei,
451,condition1,4,yiwei_unclear,108,任职,15024,43,yiwei,
451,condition1,4,juede_contrastive,19,认为,25399,44,juede,
451,condition1,4,juede_contrastive,13,拿的,16033,45,juede,
451,condition1,4,juede_unclear,112,认为,11751,46,juede,
451,condition1,4,yiwei_unclear,101,认为,8192,47,yiwei,
451,condition1,4,yiwei_contrastive,2,猜,8232,48,yiwei,
451,condition1,4,juede_unclear,119,认为,7064,49,juede,
451,condition1,4,filler,901,挠,5232,50,filler,
502,condition1,practice,practice_1,301,放,,0,NA,
502,condition1,practice,practice_2,302,打,,0,NA,
502,condition1,practice,practice_3,303,發,,0,NA,
502,condition1,practice,practice_4,304,閙,,0,NA,
502,condition1,0,juede_contrastive,15,打,17240,1,juede,
502,condition1,0,juede_unclear,114,見,20729,2,juede,
502,condition1,0,filler,906,點,7770,3,filler,
502,condition1,0,juede_contrastive,20,看,11717,4,juede,
502,condition1,0,yiwei_unclear,109,放,17561,5,yiwei,
502,condition1,0,yiwei_contrastive,6,想,13503,6,yiwei,
502,condition1,0,juede_unclear,118,猜,6438,7,juede,
502,condition1,0,yiwei_unclear,104,看,7806,8,yiwei,
502,condition1,0,filler,905,指,6089,9,filler,
502,condition1,0,yiwei_contrastive,9,想,5599,10,yiwei,
502,condition1,1,juede_unclear,111,認為,8716,11,juede,
502,condition1,1,yiwei_contrastive,10,估計,20203,12,yiwei,
502,condition1,1,filler,903,待,6461,13,filler,
502,condition1,1,yiwei_contrastive,4,猜,21495,14,yiwei,
502,condition1,1,juede_contrastive,11,看來,12434,15,juede,
502,condition1,1,yiwei_unclear,103,以為,9635,16,yiwei,
502,condition1,1,juede_contrastive,13,拿着的,18705,17,juede,
502,condition1,1,juede_unclear,113,提出的,10343,18,juede,
502,condition1,1,yiwei_unclear,108,認同,17998,19,yiwei,
502,condition1,1,filler,904,揠,33679,20,filler,
502,condition1,2,juede_contrastive,17,看,10929,21,juede,
502,condition1,2,filler,910,刻,15532,22,filler,
502,condition1,2,juede_contrastive,18,怕害,16021,23,juede,
502,condition1,2,juede_unclear,116,覺得,21455,24,juede,
502,condition1,2,yiwei_contrastive,5,以為,5634,25,yiwei,
502,condition1,2,yiwei_unclear,102,擔心,16364,26,yiwei,
502,condition1,2,yiwei_unclear,101,以為,9632,27,yiwei,
502,condition1,2,juede_unclear,120,擔心,25035,28,juede,
502,condition1,2,yiwei_contrastive,8,看,33180,29,yiwei,
502,condition1,2,filler,908,拆,8759,30,filler,
502,condition1,3,yiwei_contrastive,3,看,67988,31,yiwei,
502,condition1,3,juede_contrastive,12,認為,9424,32,juede,
502,condition1,3,juede_unclear,119,抱着,22190,33,juede,
502,condition1,3,juede_unclear,112,想,24395,34,juede,
502,condition1,3,yiwei_unclear,110,想,7727,35,yiwei,
502,condition1,3,juede_contrastive,14,想,8198,36,juede,
502,condition1,3,filler,909,畫,6178,37,filler,
502,condition1,3,yiwei_unclear,107,覺得,8628,38,yiwei,
