workerid,proliferate.condition,block_id,condition,item_id,response,rt,trial_num,verb,error,answer,response_correct,response_clean,response_type,response_num,discourse_type
458,condition1,0,juede_contrastive,16,看,35194,1,juede,NA,NA,NA,other,non-other,0,constrained
458,condition1,0,yiwei_unclear,109,叫,20236,2,yiwei,NA,NA,NA,other,non-say,0,unconstrained
458,condition1,0,yiwei_contrastive,1,以为,20705,3,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,0,juede_unclear,112,觉得,16884,4,juede,NA,NA,NA,juede,non-belief,1,unconstrained
458,condition1,0,yiwei_contrastive,7,以为,13944,6,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,0,juede_contrastive,13,以为,30749,8,juede,NA,NA,NA,yiwei,contra,0,constrained
458,condition1,0,yiwei_unclear,104,看到,46259,9,yiwei,NA,NA,NA,other,factive-other,0,unconstrained
458,condition1,0,juede_unclear,111,觉得,8942,10,juede,NA,NA,NA,juede,non-belief,1,unconstrained
458,condition1,1,yiwei_contrastive,3,以为,10642,12,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,1,juede_contrastive,20,觉得,13971,13,juede,NA,NA,NA,juede,non-belief,1,constrained
458,condition1,1,yiwei_unclear,108,觉得,27613,14,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
458,condition1,1,yiwei_unclear,101,以为,7631,15,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
458,condition1,1,juede_contrastive,18,觉得,8439,16,juede,NA,NA,NA,juede,non-belief,1,constrained
458,condition1,1,juede_unclear,115,认为,9759,17,juede,NA,NA,NA,other,non-belief,0,unconstrained
458,condition1,1,yiwei_contrastive,2,以为,8355,19,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,1,juede_unclear,116,看到,14325,20,juede,NA,NA,NA,other,factive-other,0,unconstrained
458,condition1,2,juede_contrastive,19,觉得,11295,21,juede,NA,NA,NA,juede,non-belief,1,constrained
458,condition1,2,juede_contrastive,17,觉得,9223,23,juede,NA,NA,NA,juede,non-belief,1,constrained
458,condition1,2,juede_unclear,113,认为,11529,24,juede,NA,NA,NA,other,non-belief,0,unconstrained
458,condition1,2,yiwei_contrastive,5,以为,7702,26,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,2,yiwei_contrastive,8,以为,12164,27,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,2,yiwei_unclear,110,以为,12426,28,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
458,condition1,2,yiwei_unclear,103,以为,4964,29,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
458,condition1,2,juede_unclear,114,怕,25360,30,juede,NA,NA,NA,other,non-emotion,0,unconstrained
458,condition1,3,juede_unclear,119,觉得,6185,32,juede,NA,NA,NA,juede,non-belief,1,unconstrained
458,condition1,3,juede_contrastive,14,觉得,9637,34,juede,NA,NA,NA,juede,non-belief,1,constrained
458,condition1,3,juede_unclear,120,以为,7258,35,juede,NA,NA,NA,yiwei,contra,0,unconstrained
458,condition1,3,yiwei_contrastive,10,以为,152364,36,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,3,yiwei_contrastive,6,以为,10910,37,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,3,yiwei_unclear,106,认为,14196,38,yiwei,NA,NA,NA,other,non-belief,0,unconstrained
458,condition1,3,juede_contrastive,12,觉得,20068,39,juede,NA,NA,NA,juede,non-belief,1,constrained
458,condition1,3,yiwei_unclear,107,以为,7443,40,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
458,condition1,4,yiwei_unclear,105,以为,25590,41,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
458,condition1,4,juede_unclear,118,觉得,10096,42,juede,NA,NA,NA,juede,non-belief,1,unconstrained
458,condition1,4,juede_contrastive,11,觉得,12398,44,juede,NA,NA,NA,juede,non-belief,1,constrained
