id,file_name,age,speaker,sentence,subject,embedded_subject,sentence_type,embedded_type,adverb,modal,embedded_modal,negation,embedded_negation,aspect,embedded_aspect,tense,in_context,where_context,translation,contrast,where_contrast,belief_at_stake
1,ZhouDinner/middle/15,,father,"FAT: 你觉得今天的这几个菜哪个菜好吃一点呀?
CHI: 黄瓜!",second_person,NP,wh_question,declarative,no,no,no,no,,no,no,no,p_answer,after,"father: among these dishes, which one do you think tastes better? 
son: cucumber!",no,no,
2,ZhouDinner/middle/20,,child,"CHI: 你吃的公的还是母的?
GMO: 公的吧.
CHI: 我觉得是母的,因为我看着你那个小.
GMO: 我看着大啊.",first_person,dropped,declarative,declarative,no,no,no,no,,no,no,no,p_alt,before,"child: did you eat the male (crabs) or the female (crabs)?
grandma: male (crabs) maybe.
child: i think (you ate) female (crabs), because i see/think yours is/are small.
grandma: i see/think (mine) is/are big.",no,no,
3,ZhouDinner/middle/32,,child,"MOT: 所以我们要经常洗澡洗的身上香香的,对不对?
CHI: 我觉得洗澡,身上湿湿的,都很舒服.
MOT: 嗯呢.",first_person,NP,declarative,declarative,no,no,no,no,,no,no,no,no,before,"mother: so we need to shower often to make ourselves smell nice, right?
child: i think showing, when my body’s all wet, feels really nice.
mother: yeah.",no,no,
4,ZhouDinner/middle/32,,mother,"母亲: 它喜欢抓海里的鱼吃呗.
孩子: 它喜欢...喜欢吃鲨鱼?
母亲: 鲨鱼啊?
母亲: 不知道哎.
母亲: 鲨鱼是不是太生猛了一点啊?
母亲: 我觉得北极熊有可能追不上它.
孩子: 北极熊是会成为鲨鱼的晚餐.
母亲: 但是北极还有一种动物.",first_person,NP,declarative,declarative,no,no,可能,no,,no,no,no,no,no,"mother: He likes to catch fish in the ocean to eat.
child: He likes…likes to eat sharks?
mother: Sharks?
mother: (I) don’t know.
mother: Isn’t the shar a bit too fierce/aggressive?
mother: I think the polar bear might not be able to catch him (the shark).
child: The polar bear might become the shark’s dinner.
mother: There’s another type of animal in the North Pole.",no,no,
5,ZhouDinner/middle/35,,mother,"MOT: 你要不吃,就不吃了. （should be FAT)
MOT: 我觉得那个皮还香呢,脆脆的!",first_person,NP,declarative,declarative,no,no,no,no,,no,no,no,no,no,,no,no,
6,ZhouDinner/middle/41,,child,"GMO: 嗯哝吃的好伐?
GMO: 慢慢吃.
GMO: 奶奶给你调羹.
CHI: 这调羹了.
GMO: xxx.
CHI: 我觉得好吃.",first_person,dropped,declarative,declarative,no,no,no,no,,no,no,no,p?,before,,no,no,
7,ZhouDinner/middle/47,,mother,"MOT: 反正我是挺喜欢吃的.
MOT 我觉得香香的.
MOT: 嗯还不错.",first_person,dropped,declarative,declarative,no,no,no,no,,no,no,no,no,no,"mother: at least i like eating it.
mother: i think (it) smells good.
mother: mhm not bad.",no,no,
8,ZhouDinner/middle/47,,child,"CHI: 姑姑[/]姑姑!
AUT 嗯.
CHI: 你是觉得是我包的好吃还是你包的好吃啊?
AUT: 当然是你包的好吃啊.",second_person,NP,polar,declarative,no,是,no,no,,no,no,no,p_answer,after,"child: aunt! Aunt!
aunt: yeah
child: do you think the ones that i made tasted better or the ones you made tasted better?
aunt: of course it the ones that you made tasted better.",no,no,
9,ZhouDinner/middle/47,,father,"FAT: 觉得那个蛋饺怎么样?
AUN: 蛮好的.",dropped,NP,wh_question,declarative,no,no,no,no,,no,no,no,p_answer,after,"father: what do (you) think about the egg dumplings/
aunt: pretty good.",no,no,
10,ZhouDinner/middle/51,,mother,"FAT: 有点辣吧?
MOT: 还好吧.
MOT: 我觉得有点甜.
CHI: 辣,哈哈哈.",first_person,dropped,declarative,declarative,no,no,no,no,,no,no,no,p_alt,"before, after","father: (is it) a little spicy?
mother: (it is) okay.
mother: i think (it is) a little sweet.
child: spicy, hahaha",no,no,
