id,verb,file_name,speaker,sentence,embedded_CP_j1,embedded_content_j1,subject_j1,embedded_CP_j2,embedded_content_j2,subject_j2,sentence_type_e,embedded_sentence_type_e,sentence_type_g,embedded_sentence_type_g,sentence_type_j3,embedded_sentence_type_j3,sentence_type_c,embedded_sentence_type_c,matrix_negation_e,matrix_negation_j1,matrix_negation_g,ma_particle_j,ma_particle_e,ma_particle_p
1,zhidao,/ZhouDinner/middle/06.cha,AUN,AUN: 哦你也知道哒?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
2,zhidao,/ZhouDinner/middle/13.cha,grandma,GMO: 知道吗?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
3,zhidao,/ZhouDinner/middle/14.cha,father,FAT: 我知道你和谁.,0 No,2 NP,1 first_person,2 CP,,1 first_person,0 declarative,2 wh_question,0 declarative,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
4,zhidao,/ZhouDinner/middle/14.cha,mother,MOT: 我不知道奶奶要什么东西.,2 CP,,1 first_person,2 CP,,1 first_person,0 declarative,2 wh_question,0 declarative,2 wh_question,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
6,zhidao,/ZhouDinner/middle/14.cha,mother,MOT: 我特别想知道.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
8,zhidao,/ZhouDinner/middle/15.cha,father,"FAT: 不知道你吃这个鸡蛋,吃的饱不饱?",2 CP,,0 dropped,2 CP,,0 dropped,0 declarative,0 declarative,0 declarative,0 declarative,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
11,zhidao,/ZhouDinner/middle/16.cha,GFA,GFA: 知道吗?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
12,zhidao,/ZhouDinner/middle/20.cha,mother,MOT: 知道吗?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
13,zhidao,/ZhouDinner/middle/20.cha,grandma,GMO: 我还以为你知道了呢.,0 No,0 No,2 second_person,0 No,0 No,2 second_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
15,zhidao,/ZhouDinner/middle/20.cha,mother,MOT: 你早就知道了?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
16,zhidao,/ZhouDinner/middle/20.cha,grandma,GMO: 你早就知道了?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
17,zhidao,/ZhouDinner/middle/20.cha,grandma,GMO: 你早怎么样知道的?,0 No,0 No,2 second_person,0 No,4 RC的,2 second_person,3 how/why,,3 how/why,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
18,zhidao,/ZhouDinner/middle/20.cha,grandma,GMO: 你们班同学都知道了?,0 No,0 No,3 third/NP,0 No,0 No,3 third/NP,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
19,zhidao,/ZhouDinner/middle/20.cha,mother,MOT: 你咋知道?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,3 how/why,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
23,zhidao,/ZhouDinner/middle/30.cha,grandma,"GMO: 孩名,你知道这是什么菜吗?",2 CP,,2 second_person,2 CP,,2 second_person,1 polar_question,2 wh_question,1 polar_question,2 wh_question,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
