id,file_name,age,speaker,sentence,subject,embedded_subject,sentence_type,embedded_type,adverb,modal,embedded_modal,negation,aspect,embedded_aspect,tense,in_context,where_context,translation,contrast,where_contrast,belief_at_stake
1,ZhouDinner/middle/06,,aunt,"CHI: 为什么阿姨的蛋小.
CHI: 我的蛋大? 
MOT: 诶!
AUN: 哦你也知道哒?",second_person,omitted,polar,none,也,no,no,no,no,no,no,no,no,"child: why is aunt’s egg small and mine big?
mother: yeah
aunt: oh you also know?",no,no,no
2,ZhouDinner/middle/13,,grandma,"BRO: 我吃饱了.
BRO: 我想吃蛋糕!
GMO: 还有个角落没满呢,对不对啊?
MOT: 蛋糕,要等天黑吃啊!
GMO 等下要唱唱生日歌的哦!
GMO: 知道吗?",dropped,omitted,polar,declarative,no,no,要,no,no,no,no,no,no,"brother: i’m full.
brother: i want to have the cake!
grandma: there’s still one corner that’s not full, right?
mother: cake, (we) should wait until until it gets dark to eat (the cake)!
grandma: We’re going to sing the birthday song later!
grandma: do you know?",no,no,no
3,ZhouDinner/middle/14,,father,"FAT: 今天你和哪个小朋友玩了?
CHI 不告诉你.
FAT: 我知道你和谁.
CHI: 和谁啊?
FAT: 孩名!
CHI: 不.",first_person,second_person,declarative,declarative,no,no,no,no,no,no,no,no,no,"father: Which kid did you play with today?
child: (i am) not going to tell you.
father: i know you and who./i know who you are with
child: with who?
father: [name of a kid]
child: no.",no,no,yes
4,ZhouDinner/middle/14,,mother,"MOT: 宝宝,你去帮奶奶拿东西吧.
MOT: 去吧.
CHI: 拿什么东西啊?
MOT: 奶奶要什么东西啊,奶奶?
CHI: 妈妈,到底要什么东西啊?
MOT: 我不知道奶奶要什么东西.
MOT: 好了.",first_person,NP,declarative,declarative,no,no,no,yes,no,no,no,p?,before,"mother: Sweetie, go help Grandma carry the things.
mother: go
child: carry what things? / what to carry?
mother: what does grandma want, grandma?
child: mom, What exactly does (she) want?
mother: i don’t know what grandma wants.
mother: okay.",no,no,no
5,ZhouDinner/middle/14,,child,"MOT: 宝宝啊,告诉妈妈今天都干什么了,在学校?
CHI: 你想知道我们吃了什么啊?
MOT: 想啊.
MOT: 我特别想知道.",second_person,first_person,polar,wh_question,no,no,no,no,no,了,no,no,no,"mother: sweetie, tell mom what did (you) do, in school?
child: do you want to know what we ate?
mother: (i) want
mother: i really want to know.",no,no,yes
6,ZhouDinner/middle/14,,mother,"MOT: 宝宝啊,告诉妈妈今天都干什么了,在学校?
CHI: 你想知道我们吃了什么啊?
MOT: 想啊.
MOT: 我特别想知道.",first_person,omitted,declarative,none,no,no,no,no,no,no,no,zhidao_p?,before,"mother: sweetie, tell mom what did (you) do, in school?
child: do you want to know what we ate?
mother: (i) want
mother: i really want to know.",no,no,yes
7,ZhouDinner/middle/14,,child,"MOT: 你今天在学校跟谁玩了啊?
CHI: 你们都不知道.
CHI: 我就说给你们听吧?
MOT: 好,说给我们听.",second_person,omitted,declarative,none,都,no,no,yes,no,no,no,no,no,"mother: who did you play with at school today?
child: you all don’t know.
child: let me tell you guys?
mother: yeah, tell us.",no,no,yes
8,ZhouDinner/middle/15,,father,"FAT: 不知道你吃这个鸡蛋,吃的饱不饱?
FAT: 还有这个窝窝头.
FAT: 你是愿意吃这个还是愿意吃窝窝头啊!
CHI: 这个!",dropped,second_person,declarative,declarative,no,no,no,yes,no,no,no,no,no,"father: (I) don’t know whether you will be full after eating this egg.
father: and also this corn bun.
father: would you like to eat this or would you liek to eat the corn bun?
child: this!",no,no,no
9,ZhouDinner/middle/16,,child,"MOT: 你要不要吃虾啊?
CHI: 那好吧!
MOT: 自己剥哈!
MOT: 筷子放好!
CHI: 我知道!
CHI: 你帮我剥.",first_person,omitted,declarative,none,no,no,no,no,no,no,no,command,before,"mother: do you want to eat the shrimp?
child: okay!
mother: peel it yourself!
mother: put the chopsticks properly!
child: i know!
child: you help me peel.",no,no,no
10,ZhouDinner/middle/16,,child,"GFA: 菠菜吃一点!
CHI: 我知道了啊!",first_person,omitted,declarative,none,no,no,no,no,no,了,no,command,before,"grandpa: have some spinach!
child: i know!",no,no,no
11,ZhouDinner/middle/16,,grandpa,"GFA: 吃快一点.
GFA: 知道吗?
GFA: 要吃快一点.",dropped,omitted,polar,none,no,no,no,no,no,no,no,command,before,"grandpa: eat faster.
grandpa: (do you) know?
grandpa: (you) need to eat faster.",no,no,no
12,ZhouDinner/middle/20,,mother,"MOT: 不能老擦.
MOT: 知道吗?
CHI: 为什么啊?",dropped,omitted,polar,none,no,no,no,no,no,no,no,command,before,"mother: (you) cannot wipe it too often.
mother: (you) know?
child: why?",no,no,no
13,ZhouDinner/middle/20,,grandma,"CHI: 刚才我听见爸爸说的.
FAT: 嗯.
GMO: 我还以为你知道了呢.
GMO: 听见爸爸说的啊!
CHI: 我早就知道了.
MOT: 你早就知道了?
GMO: 你早就知道了?
CHI: 嗯.
GMO: 你早怎么样知道的?
CHI: 我们班同学告诉我的.
GMO: 同学?
GMO: 你们班同学都知道了?",second_person,omitted,declarative,none,no,no,no,no,no,了,no,no,no,"child: i just heard what dad said.
father: yeah.
grandma: i thought you already knew.
grandma: heard what dad said.
child: i knew it a while ago.
mother: did you know a while ago?
grandma: did you know a while ago?
child: yeah.
grandma: how did you know a while ago?
child: my classmate told me.
grandma: classmate?
grandma: your classmate also knew?",听见,before,no
