"workerid","proliferate.condition","block_id","condition","item_id","original_choice","response","rt","trial_num","verb","error","response_corr","response_num","discourse_type"
354,"condition1","0","yiwei_contrastive",6,"觉得","juede",10162,1,"yiwei",NA,"incorrect",0,"constrained"
354,"condition1","0","juede_unclear",120,"觉得","juede",9461,2,"juede",NA,"correct",1,"unconstrained"
354,"condition1","0","yiwei_contrastive",7,"觉得","juede",3529,3,"yiwei",NA,"incorrect",0,"constrained"
354,"condition1","0","yiwei_unclear",108,"觉得","juede",3630,4,"yiwei",NA,"incorrect",0,"unconstrained"
354,"condition1","0","juede_contrastive",13,"以为","yiwei",4457,5,"juede",NA,"incorrect",0,"constrained"
354,"condition1","0","juede_unclear",118,"觉得","juede",3076,6,"juede",NA,"correct",1,"unconstrained"
354,"condition1","0","yiwei_unclear",103,"以为","yiwei",5954,7,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","0","juede_contrastive",17,"以为","yiwei",3898,9,"juede",NA,"incorrect",0,"constrained"
354,"condition1","1","yiwei_unclear",105,"以为","yiwei",3361,11,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","1","yiwei_unclear",104,"以为","yiwei",5854,12,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","1","juede_unclear",117,"以为","yiwei",3789,13,"juede",NA,"incorrect",0,"unconstrained"
354,"condition1","1","juede_contrastive",12,"觉得","juede",2682,14,"juede",NA,"correct",1,"constrained"
354,"condition1","1","yiwei_contrastive",8,"以为","yiwei",2840,15,"yiwei",NA,"correct",1,"constrained"
354,"condition1","1","yiwei_contrastive",4,"以为","yiwei",2283,16,"yiwei",NA,"correct",1,"constrained"
354,"condition1","1","juede_contrastive",20,"觉得","juede",8310,17,"juede",NA,"correct",1,"constrained"
354,"condition1","1","juede_unclear",119,"以为","yiwei",7773,18,"juede",NA,"incorrect",0,"unconstrained"
354,"condition1","2","yiwei_contrastive",1,"以为","yiwei",3604,21,"yiwei",NA,"correct",1,"constrained"
354,"condition1","2","yiwei_unclear",110,"以为","yiwei",10661,22,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","2","juede_contrastive",14,"以为","yiwei",2138,23,"juede",NA,"incorrect",0,"constrained"
354,"condition1","2","yiwei_unclear",106,"以为","yiwei",6899,25,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","2","juede_unclear",113,"觉得","juede",2236,26,"juede",NA,"correct",1,"unconstrained"
354,"condition1","2","yiwei_contrastive",5,"以为","yiwei",3643,27,"yiwei",NA,"correct",1,"constrained"
354,"condition1","2","juede_contrastive",18,"觉得","juede",10494,28,"juede",NA,"correct",1,"constrained"
354,"condition1","2","juede_unclear",111,"觉得","juede",4221,29,"juede",NA,"correct",1,"unconstrained"
354,"condition1","3","yiwei_contrastive",3,"以为","yiwei",10988,32,"yiwei",NA,"correct",1,"constrained"
354,"condition1","3","yiwei_unclear",102,"觉得","juede",3524,34,"yiwei",NA,"incorrect",0,"unconstrained"
354,"condition1","3","juede_unclear",115,"觉得","juede",5069,35,"juede",NA,"correct",1,"unconstrained"
354,"condition1","3","juede_contrastive",19,"觉得","juede",8391,36,"juede",NA,"correct",1,"constrained"
354,"condition1","3","yiwei_unclear",101,"以为","yiwei",3189,37,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","3","yiwei_contrastive",10,"以为","yiwei",3085,38,"yiwei",NA,"correct",1,"constrained"
354,"condition1","3","juede_contrastive",16,"觉得","juede",5182,39,"juede",NA,"correct",1,"constrained"
354,"condition1","3","juede_unclear",112,"觉得","juede",3369,40,"juede",NA,"correct",1,"unconstrained"
354,"condition1","4","juede_contrastive",15,"觉得","juede",8445,41,"juede",NA,"correct",1,"constrained"
354,"condition1","4","yiwei_contrastive",9,"觉得","juede",2354,42,"yiwei",NA,"incorrect",0,"constrained"
354,"condition1","4","yiwei_unclear",109,"以为","yiwei",2356,43,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","4","juede_unclear",116,"觉得","juede",2428,45,"juede",NA,"correct",1,"unconstrained"
354,"condition1","4","yiwei_contrastive",2,"以为","yiwei",3652,46,"yiwei",NA,"correct",1,"constrained"
354,"condition1","4","yiwei_unclear",107,"以为","yiwei",4733,48,"yiwei",NA,"correct",1,"unconstrained"
354,"condition1","4","juede_contrastive",11,"觉得","juede",2684,49,"juede",NA,"correct",1,"constrained"
354,"condition1","4","juede_unclear",114,"觉得","juede",8707,50,"juede",NA,"correct",1,"unconstrained"
324,"condition1","0","yiwei_contrastive",7,"觉得","juede",3728,1,"yiwei",NA,"incorrect",0,"constrained"
324,"condition1","0","juede_unclear",119,"觉得","juede",4810,2,"juede",NA,"correct",1,"unconstrained"
324,"condition1","0","juede_contrastive",19,"觉得","juede",4058,4,"juede",NA,"correct",1,"constrained"
324,"condition1","0","yiwei_unclear",106,"觉得","juede",5235,5,"yiwei",NA,"incorrect",0,"unconstrained"
324,"condition1","0","yiwei_contrastive",2,"以为","yiwei",3327,7,"yiwei",NA,"correct",1,"constrained"
324,"condition1","0","juede_contrastive",18,"觉得","juede",3069,8,"juede",NA,"correct",1,"constrained"
324,"condition1","0","juede_unclear",120,"以为","yiwei",3699,9,"juede",NA,"incorrect",0,"unconstrained"
324,"condition1","0","yiwei_unclear",102,"觉得","juede",3327,10,"yiwei",NA,"incorrect",0,"unconstrained"
324,"condition1","1","yiwei_contrastive",9,"以为","yiwei",2907,11,"yiwei",NA,"correct",1,"constrained"
324,"condition1","1","yiwei_contrastive",4,"以为","yiwei",3635,12,"yiwei",NA,"correct",1,"constrained"
324,"condition1","1","yiwei_unclear",110,"以为","yiwei",4480,13,"yiwei",NA,"correct",1,"unconstrained"
324,"condition1","1","juede_unclear",118,"觉得","juede",3933,14,"juede",NA,"correct",1,"unconstrained"
324,"condition1","1","juede_contrastive",13,"以为","yiwei",4281,16,"juede",NA,"incorrect",0,"constrained"
324,"condition1","1","juede_contrastive",12,"觉得","juede",2913,17,"juede",NA,"correct",1,"constrained"
324,"condition1","1","yiwei_unclear",104,"以为","yiwei",5161,19,"yiwei",NA,"correct",1,"unconstrained"
324,"condition1","1","juede_unclear",113,"觉得","juede",2937,20,"juede",NA,"correct",1,"unconstrained"
324,"condition1","2","juede_unclear",114,"觉得","juede",4244,21,"juede",NA,"correct",1,"unconstrained"
324,"condition1","2","juede_contrastive",15,"以为","yiwei",6360,22,"juede",NA,"incorrect",0,"constrained"
324,"condition1","2","yiwei_unclear",107,"以为","yiwei",3258,23,"yiwei",NA,"correct",1,"unconstrained"
324,"condition1","2","yiwei_contrastive",5,"以为","yiwei",3230,24,"yiwei",NA,"correct",1,"constrained"
324,"condition1","2","juede_unclear",115,"以为","yiwei",2452,25,"juede",NA,"incorrect",0,"unconstrained"
324,"condition1","2","yiwei_contrastive",1,"觉得","juede",2682,26,"yiwei",NA,"incorrect",0,"constrained"
324,"condition1","2","juede_contrastive",20,"以为","yiwei",4463,28,"juede",NA,"incorrect",0,"constrained"
324,"condition1","2","yiwei_unclear",108,"以为","yiwei",3622,29,"yiwei",NA,"correct",1,"unconstrained"
